sku_interno,producto,marca,metros_totales,retailer,url,categoria,subcategoria,rollos,metros_rollo
TC-245,Home Care Doble Hoja 26 m 2 un,Home Care,52,santaisabel,https://www.santaisabel.cl/toalla-home-care-doble-hoja-2-un-x-26-mt-2042446/p,Toalla de Papel,Doble Hoja,2,26
TC-246,Abolengo Doble Hoja 10 m 3 un,Abolengo,30,santaisabel,https://www.santaisabel.cl/toalla-de-papel-abolengo-3-unid-10-mt-c-u/p,Toalla de Papel,Doble Hoja,3,10
TC-247,Nova Ultra Doble Hoja 26 m 2 un,Nova,52,santaisabel,https://www.santaisabel.cl/toalla-papel-nova-ultra-dh-26mt-2un-1939056/p,Toalla de Papel,Doble Hoja,2,26
TC-248,Nova Ultra Gigante Doble Hoja 70 m 1 un,Nova,70,santaisabel,https://www.santaisabel.cl/toalla-de-papel-nova-ultra-70-m-1970652/p,Toalla de Papel,Doble Hoja,1,70
TC-249,Nova Gigante Doble Hoja 100 m 1 un,Nova,100,santaisabel,https://www.santaisabel.cl/toalla-de-papel-gigante-doble-hoja-100-m-1923549/p,Toalla de Papel,Doble Hoja,1,100
TC-250,Nova Gigante Clásica Doble Hoja 70 m 1 un,Nova,70,santaisabel,https://www.santaisabel.cl/toalla-papel-nova-gigante-clasica-70mt-2021823/p,Toalla de Papel,Doble Hoja,1,70
TC-251,Elite Deco Maxi Rollo Triple Hoja 20 m 2 un,Elite,40,santaisabel,https://www.santaisabel.cl/toalla-deco-maxi-rollo-20-m-2-un/p,Toalla de Papel,Triple Hoja,2,20
TC-252,Nova Ultra Doble Hoja 14 m 2 un,Nova,28,santaisabel,https://www.santaisabel.cl/toalla-papel-nova-ultra-14mt-2un-1997285/p,Toalla de Papel,Doble Hoja,2,14
TC-253,Nova Clásica Doble Hoja 12 m 12 un,Nova,144,santaisabel,https://www.santaisabel.cl/toalla-de-papel-nova-clasica-12-m-12-un-2008456/p,Toalla de Papel,Doble Hoja,12,12
TC-254,Máxima Doble Hoja 100 m 1 un,Máxima,100,santaisabel,https://www.santaisabel.cl/toalla-maxima-doble-hoja-100-m-2011595/p,Toalla de Papel,Doble Hoja,1,100
TC-255,Favorita Estilo 24 m 2 un,Favorita,48,santaisabel,https://www.santaisabel.cl/toalla-favorita-estilo-24mt-2un-2025110/p,Toalla de Papel,Doble Hoja,2,24
TC-256,Máxima Doble Hoja 10 m 2 un,Máxima,20,santaisabel,https://www.santaisabel.cl/toalla-max-3x10-2067051/p,Toalla de Papel,Doble Hoja,2,10
TC-257,Swan Clásica Doble Hoja 40 m 1 un,Swan,40,santaisabel,https://www.santaisabel.cl/toalla-papel-swan-2072038/p,Toalla de Papel,Doble Hoja,1,40
TC-258,Favorita Hogar Mega Doble Hoja 100 m 1 un,Favorita,100,santaisabel,https://www.santaisabel.cl/toalla-de-papel-favorita-hogar-mega-1-unid-100-metros/p,Toalla de Papel,Doble Hoja,1,100
TC-259,Scott Multiuso Doble Hoja 19 m 2 un,Scott,38,santaisabel,https://www.santaisabel.cl/toalla-multiuso-2-un-19-m-c-u-1786954/p,Toalla de Papel,Doble Hoja,2,19
TC-260,Favorita Extra Hogar Hoja Simple 60 m 2 un,Favorita,120,santaisabel,https://www.santaisabel.cl/toalla-de-papel-extra-hogar-2-un-60-m-1884769/p,Toalla de Papel,Hoja Simple,2,60
TC-261,Scott Multiuso 70 m 1 un,Scott,70,santaisabel,https://www.santaisabel.cl/toalla-papel-scott-multiuso-70-m-1-un-2044411/p,Toalla de Papel,Doble Hoja,1,70
TC-262,Nova Clásica Mega Gigante Doble Hoja 100 m 1 un,Nova,100,santaisabel,https://www.santaisabel.cl/toalla-papel-2093535/p,Toalla de Papel,Doble Hoja,1,100
TC-263,Tottus Doble Hoja 30 m 2 un,Tottus,60,tottus,https://www.tottus.cl/tottus-cl/articulo/116362827/toalla-de-papel-dh-tottus-2-x30-mt/116362828,Toalla de Papel,Doble Hoja,2,30
TC-264,Abolengo XL Doble Hoja 100 m 1 un,Abolengo,100,tottus,https://www.tottus.cl/tottus-cl/articulo/117637295/tp-abolengo-xl-abolengo-und/117637296,Toalla de Papel,Doble Hoja,1,100
TC-265,Nova Ultra Doble Hoja 70 m 1 un,Nova,70,tottus,https://www.tottus.cl/tottus-cl/articulo/124677756/toalla-papel-utra-70m-nova/124677757,Toalla de Papel,Doble Hoja,1,70
TC-266,Tottus Doble Hoja 100 m 1 un,Tottus,100,tottus,https://www.tottus.cl/tottus-cl/articulo/110610716/papel-toalla-dh-100mt-tottus-1-und/110610719,Toalla de Papel,Doble Hoja,1,100
TC-267,Nova Ultra Mega Rollo Doble Hoja 26 m 2 un,Nova,52,tottus,https://www.tottus.cl/tottus-cl/articulo/110621018/toalla-de-papel-nova-ultra-mr-x2/110621019,Toalla de Papel,Doble Hoja,2,26
TC-268,Swan Clásica Doble Hoja 45 m 1 un,Swan,45,tottus,https://www.tottus.cl/tottus-cl/articulo/129395187/papel-toalla-1x40-clasica-dh-swan/129395188,Toalla de Papel,Doble Hoja,1,45
TC-269,Elite Deco Maxi Rollo Triple Hoja 20 m 2 un,Elite,40,tottus,https://www.tottus.cl/tottus-cl/articulo/112693248/toalla-papel-elite-und/112693249,Toalla de Papel,Triple Hoja,2,20
